order_id,order_date,customer_name,city,state,product,category,quantity,price,discount,total_amount,payment_method,sales_person
ORD-0000101,2025-08-10,Justin Cochran,Joneshaven,Missouri,Gaming Console,Electronics,6,41254.11,11.06,220148.43,Debit Card,Jesse Grimes
ORD-0000102,2025-06-21,Valerie Oliver,West Jessica,Arizona,Football,Sports,1,34943.33,28.8,24879.65,Credit Card,Rachel Allen DDS
ORD-0000103,2025-10-01,Jeffrey Woods,Pollardtown,Nebraska,Coffee Beans,Grocery,2,12168.91,27.54,17635.18,Net Banking,Katie Cervantes
ORD-0000104,2024-11-06,Barbara Reed,Lake Tracyville,Indiana,Fitness Tracker,Sports,9,29910.15,24.78,202485.73,Mobile Pay,Darrell Armstrong
ORD-0000105,2024-11-06,Lauren Ramirez,West Kimberlyside,Michigan,Bookshelf,Furniture,3,7432.1,26.56,16374.4,Debit Card,Darrell Armstrong
ORD-0000106,2024-01-04,Annette Vaughan,New Brent,South Dakota,Wireless Earbuds,Electronics,9,9874.85,5.48,84003.37,Debit Card,Rachel Allen DDS
ORD-0000107,2024-12-27,Sally Massey,Evansport,Oklahoma,T-Shirt,Clothing,5,46911.38,15.46,198294.4,Credit Card,Heather Smith
ORD-0000108,2025-08-28,Ethan Cantu,North Robertmouth,Ohio,Football,Sports,4,24661.76,1.6,97068.69,Net Banking,Angelica Garcia
ORD-0000109,2025-02-19,Stephanie Carr PhD,East Mark,Tennessee,Dining Table,Furniture,6,31489.74,1.32,186444.45,Credit Card,Heather Smith
ORD-0000110,2024-05-04,Brandon Rodriguez,Boydmouth,Vermont,Organic Milk,Grocery,5,41070.53,25.88,152207.38,Mobile Pay,Darrell Armstrong
ORD-0000111,2025-03-28,Miss Linda Smith,East Danielchester,Florida,Wireless Earbuds,Electronics,5,14928.27,5.85,70274.83,Credit Card,Marie Jackson
ORD-0000112,2024-04-23,John Manning,Millerburgh,Georgia,Wireless Earbuds,Electronics,7,24562.75,14.29,147369.13,Mobile Pay,Bryan Williams
ORD-0000113,2024-06-16,Mandy Howard,East Aaron,North Dakota,Tennis Racket,Sports,3,20223.26,9.83,54705.94,Net Banking,Heather Smith
ORD-0000114,2024-03-19,Edwin Wallace,Bradyland,New York,Camera,Electronics,2,37810.19,5.91,71151.22,Mobile Pay,Katie Cervantes
ORD-0000115,2024-03-09,Mr. Henry Sandoval,Nicoleview,Alaska,Coffee Beans,Grocery,5,32614.65,22.67,126104.54,Debit Card,Rachel Allen DDS
ORD-0000116,2024-12-08,Tina Barnes,Heatherhaven,South Dakota,Snack Pack,Grocery,2,10160.48,4.54,19398.39,Mobile Pay,Darrell Armstrong
ORD-0000117,2024-03-22,Randy Sanchez,Lake Christinahaven,Colorado,Jeans,Clothing,1,27165.29,21.52,21319.32,Debit Card,Rachel Allen DDS
ORD-0000118,2025-05-02,Lisa Fernandez,Davidfurt,South Dakota,Canned Beans,Grocery,2,20043.44,0.11,40042.78,Cash,Angelica Garcia
ORD-0000119,2024-07-13,Pamela Reynolds,East Clinton,Kansas,Dress,Clothing,8,13240.63,8.84,96561.27,Cash,Sean Cervantes
ORD-0000120,2024-06-27,Jeffrey Mcgee,North Michelefurt,Texas,Bed Frame,Furniture,7,31284.05,10.83,195271.91,Credit Card,Angelica Garcia
ORD-0000121,2025-11-01,Betty Thompson,Michaelmouth,South Carolina,Dress,Clothing,5,2626.68,25.62,9768.62,Cash,Shawn Cunningham
ORD-0000122,2025-05-02,Thomas Levy,Kirstenside,Iowa,Basketball Shoes,Sports,4,32765.17,2.58,127679.31,Cash,Heather Smith
ORD-0000123,2024-02-03,Kayla Scott,Port Willie,Delaware,Cereal Box,Grocery,6,11086.86,0.63,66102.08,Debit Card,Marie Jackson
ORD-0000124,2025-11-07,Kristine Martinez,Natashaport,Arizona,Gaming Console,Electronics,7,42719.85,3.33,289080.95,Cash,Marie Jackson
ORD-0000125,2024-03-20,Sarah Johnson,East Wandabury,Kansas,Football,Sports,5,38022.52,27.96,136957.12,Cash,Steven Miller
ORD-0000126,2024-08-12,Samuel Solomon,Drakehaven,Arizona,Football,Sports,1,16410.87,29.97,11492.53,Net Banking,Heather Smith
ORD-0000127,2024-04-13,Cindy Freeman,Port Calvin,Hawaii,Cereal Box,Grocery,5,22358.09,11.15,99325.81,Mobile Pay,Rachel Allen DDS
ORD-0000128,2024-02-05,Paul Crawford,New Randy,Rhode Island,Wireless Earbuds,Electronics,5,18859.74,2.3,92129.83,Credit Card,Jesse Grimes
ORD-0000129,2024-10-01,Darrell Boyd,Jamesfort,Wyoming,Bluetooth Speaker,Electronics,8,23901.98,23.6,146088.9,Cash,Jesse Grimes
ORD-0000130,2024-05-28,Thomas Sanders,Alvarezburgh,Colorado,Football,Sports,7,36646.81,28.74,182801.62,Net Banking,Angelica Garcia
ORD-0000131,2025-11-11,Gabriel Flowers,Stewartton,Mississippi,Smart TV,Electronics,10,45578.78,19.16,368458.86,Credit Card,Sean Cervantes
ORD-0000132,2025-02-23,Alicia Kemp,Millerborough,Rhode Island,Coffee Beans,Grocery,4,35401.0,18.55,115336.46,Cash,Heather Smith
ORD-0000133,2025-09-23,Sherry Mills,Taylorburgh,Indiana,Coffee Beans,Grocery,4,33364.13,4.68,127210.75,Mobile Pay,Angelica Garcia
ORD-0000134,2025-03-14,Tracy Green,Melanieville,Maryland,Bed Frame,Furniture,7,27731.45,9.82,175057.55,Credit Card,Sean Cervantes
ORD-0000135,2025-11-11,Michael Frank,New Oscarburgh,North Carolina,Canned Beans,Grocery,6,21626.99,24.24,98307.65,Cash,Bryan Williams
ORD-0000136,2024-04-18,Rachel Haynes,Gallagherside,Mississippi,Dining Table,Furniture,10,16333.13,12.33,143192.55,Net Banking,Steven Miller
ORD-0000137,2024-07-20,Christopher Webb,Port Kyleton,Oregon,Coffee Beans,Grocery,5,13684.32,16.89,56865.19,Cash,Angelica Garcia
ORD-0000138,2024-12-13,Jessica Greer,Lake Robin,Montana,Tablet,Electronics,7,26063.93,23.27,139991.97,Debit Card,Marie Jackson
ORD-0000139,2024-12-10,Sandra Miller,Maryfurt,Nebraska,Sneakers,Clothing,1,15804.21,18.28,12915.2,Credit Card,Marie Jackson
ORD-0000140,2024-07-23,Henry Singh,Garciaside,North Carolina,Office Chair,Furniture,10,9167.35,4.87,87209.0,Credit Card,Heather Smith
ORD-0000141,2024-10-30,Amy Lozano,Brendafurt,Virginia,Football,Sports,6,6283.58,29.95,26409.89,Mobile Pay,Sherry Stephens
ORD-0000142,2025-01-28,Brandon Daniels,Lake Bethburgh,Wyoming,Basketball Shoes,Sports,2,47705.07,19.87,76452.15,Debit Card,Heather Smith
ORD-0000143,2024-01-08,Geoffrey Mooney,Johnsontown,Wyoming,Sweater,Clothing,3,30659.19,19.26,74262.69,Credit Card,Angelica Garcia
ORD-0000144,2024-08-27,Anthony Allen,New Darinfort,Massachusetts,Olive Oil,Grocery,6,2105.43,22.59,9778.88,Debit Card,Rachel Allen DDS
ORD-0000145,2024-04-12,Alexander Ramos,Jenningsview,Michigan,Sneakers,Clothing,6,23837.24,5.24,135529.01,Mobile Pay,Heather Smith
ORD-0000146,2024-10-20,Taylor Harris,New Barrystad,Arkansas,Sofa,Furniture,3,1897.98,9.04,5179.21,Credit Card,Katie Cervantes
ORD-0000147,2024-10-14,Rachel Weiss,North Douglas,Indiana,Yoga Mat,Sports,7,13868.32,24.9,72905.76,Mobile Pay,Darrell Armstrong
ORD-0000148,2024-04-25,Jason Thomas,Guerraland,New Jersey,Yoga Mat,Sports,8,6890.35,25.03,41325.56,Cash,Rachel Allen DDS
ORD-0000149,2024-02-27,Sabrina Moran,Gibsonborough,Kansas,Tablet,Electronics,2,23056.43,14.38,39481.83,Credit Card,Jesse Grimes
ORD-0000150,2025-07-31,Bailey Hickman,South Brian,Ohio,Tablet,Electronics,9,40153.53,13.09,314076.9,Cash,Heather Smith
ORD-0000151,2024-08-27,Paula Hamilton,Port Megantown,Montana,Football,Sports,9,17678.62,4.51,151931.83,Debit Card,Bryan Williams
ORD-0000152,2024-04-12,Julie Hanson,Scotttown,Kansas,Jacket,Clothing,10,28089.82,4.74,267583.63,Cash,Marie Jackson
ORD-0000153,2024-11-03,Casey May,South Sean,New Hampshire,Office Chair,Furniture,3,15224.0,2.94,44329.24,Cash,Bryan Williams
ORD-0000154,2025-01-29,Jonathan Anderson,New Keith,Minnesota,Olive Oil,Grocery,4,37105.35,9.77,133920.63,Credit Card,Katie Cervantes
ORD-0000155,2025-01-27,Rachel White,New Kellyland,Tennessee,Bookshelf,Furniture,6,3922.56,20.78,18644.71,Credit Card,Sean Cervantes
ORD-0000156,2024-04-04,Brittany Lawson,Ronaldland,South Carolina,Organic Milk,Grocery,5,11268.84,20.26,44928.87,Credit Card,Bryan Williams
ORD-0000157,2025-06-23,Laura Maxwell,Lisashire,Mississippi,Bluetooth Speaker,Electronics,1,18747.29,5.35,17744.31,Mobile Pay,Steven Miller
ORD-0000158,2024-03-18,Paul Ramirez,Proctorland,New Hampshire,Dining Table,Furniture,7,19611.13,10.87,122355.8,Cash,Katie Cervantes
ORD-0000159,2024-04-28,Holly Hicks DDS,West Heidistad,Maine,Bed Frame,Furniture,2,24491.9,5.2,46436.64,Mobile Pay,Jesse Grimes
ORD-0000160,2024-08-27,Gary Adams,North Scott,Nebraska,Basketball Shoes,Sports,1,49308.97,12.41,43189.73,Debit Card,Angelica Garcia
ORD-0000161,2024-06-27,Dustin Fisher,Pattonfurt,Arkansas,Bookshelf,Furniture,1,10432.05,6.64,9739.36,Debit Card,Bryan Williams
ORD-0000162,2024-06-11,Heather Johnson,Lake Dianeview,Wyoming,Yoga Mat,Sports,1,28480.63,19.92,22807.29,Net Banking,Shawn Cunningham
ORD-0000163,2025-06-22,Shelley Kaufman,North Kellybury,California,Office Chair,Furniture,4,1465.66,24.61,4419.84,Net Banking,Rachel Allen DDS
ORD-0000164,2025-06-07,Daniel Bell,Lake Amanda,Tennessee,Dress,Clothing,6,19986.29,29.13,84985.7,Mobile Pay,Rachel Allen DDS
ORD-0000165,2024-03-27,Hunter Newman,Mendezchester,Iowa,Fitness Tracker,Sports,5,28085.91,17.37,116036.94,Cash,Sean Cervantes
ORD-0000166,2025-09-10,Diane Hughes,Port Jennifer,Tennessee,Tablet,Electronics,8,17416.28,8.01,128169.89,Net Banking,Jesse Grimes
ORD-0000167,2024-05-07,Donald Flores,East Judyberg,Wisconsin,Smartphone,Electronics,2,45559.17,14.29,78097.53,Credit Card,Katie Cervantes
ORD-0000168,2024-08-09,Laurie Clark,East David,Minnesota,Camera,Electronics,5,23267.98,23.59,88895.32,Cash,Katie Cervantes
ORD-0000169,2024-11-26,Melissa Peterson,Sarahmouth,North Carolina,Sweater,Clothing,9,15342.17,15.08,117257.14,Cash,Shawn Cunningham
ORD-0000170,2024-04-22,Sherry Schaefer,Anthonyborough,Illinois,Smart TV,Electronics,4,25379.45,4.6,96847.98,Debit Card,Darrell Armstrong
ORD-0000171,2024-06-12,Samantha Bryan,Perezville,New Mexico,Tablet,Electronics,4,42666.44,6.42,159709.02,Mobile Pay,Angelica Garcia
ORD-0000172,2024-01-20,Melissa Holmes,West Allisonbury,Arkansas,Cereal Box,Grocery,3,11271.01,27.68,24453.58,Net Banking,Steven Miller
ORD-0000173,2024-03-18,Danny Wallace,Kimchester,California,Organic Milk,Grocery,2,22230.04,14.47,38026.71,Cash,Shawn Cunningham
ORD-0000174,2025-10-26,Jade Gray,Lake Jameston,Kansas,Yoga Mat,Sports,6,15072.42,2.44,88227.92,Cash,Rachel Allen DDS
ORD-0000175,2024-03-22,Ronald Williams,Tinaborough,Nebraska,Smart TV,Electronics,7,41663.79,13.47,252361.74,Cash,Steven Miller
ORD-0000176,2025-05-25,Shelby Weaver,West Tina,Virginia,Bluetooth Speaker,Electronics,5,9381.56,23.06,36090.86,Credit Card,Rachel Allen DDS
ORD-0000177,2025-09-28,Michael Davis,Lake Leah,Delaware,Organic Milk,Grocery,1,27373.41,3.64,26377.02,Net Banking,Bryan Williams
ORD-0000178,2024-10-08,Stacey Armstrong,Levyfurt,Pennsylvania,Olive Oil,Grocery,5,32050.12,28.65,114338.8,Cash,Jesse Grimes
